parents,designation,sku,etat_intitule,name,etat,Regula_price,photo,diameter,width,length,Poids,Epaisseur,Diameter_Largrue_Cote,Longueur,Categories,Tags,Stock,"Sold individually?","Attribute 0 name","Attribute 0 value(s)","Attribute 0 global","Attribute 1 name","Attribute 1 value(s)","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 global"
"Aciers de Construction et Alliés",XC48,63438,"En Stock","XC48 EP  80",1,5.75,,75,80,110,6.3,75,80,110,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D3433,1,Epaisseur,75,1,Diameter/Largrue/Cote,80,1,Longueur,110,1
"Aciers de Construction et Alliés",XC48,63439,"En Stock","XC48 EP  80",1,3.10,,50,80,105,3.4,50,80,105,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4282,1,Epaisseur,50,1,Diameter/Largrue/Cote,80,1,Longueur,105,1
"Aciers Outils","TOOLOX 33",63440,"En Stock","TOOLOX 33  EP  60",1,2.32,,30,60,70,1.1,30,60,70,"Aciers Outils>TOOLOX 33",Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q10020,1,Epaisseur,30,1,Diameter/Largrue/Cote,60,1,Longueur,70,1
"Aciers de Construction et Alliés",XC48,63441,"En Stock","XC48 PLAQUE EP 150 FORMAT LIBRE",1,0.91,,20,65,110,1.2,20,65,110,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4269,1,Epaisseur,20,1,Diameter/Largrue/Cote,65,1,Longueur,110,1
"Aciers Outils",40CMD8TrS,63448,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,2.20,,35,60,90,1.6,35,60,90,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3309,1,Epaisseur,35,1,Diameter/Largrue/Cote,60,1,Longueur,90,1
"Aciers Outils",40CMD8TrS,63449,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,2.20,,35,60,90,1.6,35,60,90,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3309,1,Epaisseur,35,1,Diameter/Largrue/Cote,60,1,Longueur,90,1
"Aciers Outils",40CMD8TrS,63451,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,2.20,,30,60,90,1.6,30,60,90,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3300,1,Epaisseur,30,1,Diameter/Largrue/Cote,60,1,Longueur,90,1
"Aciers de Construction et Alliés",XC48,63455,"En Stock","XC48 PLAQUE EP 150 FORMAT LIBRE",1,0.84,,20,65,105,1.1,20,65,105,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4269,1,Epaisseur,20,1,Diameter/Largrue/Cote,65,1,Longueur,105,1
"Aciers Outils","TOOLOX 33",63458,"En Stock","TOOLOX 33  EP  60",1,1.06,,18,55,60,0.5,18,55,60,"Aciers Outils>TOOLOX 33",Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q10020,1,Epaisseur,18,1,Diameter/Largrue/Cote,55,1,Longueur,60,1
"Aciers Outils","TOOLOX 44",63466,"En Stock","TOOLOX 44  EP  84",1,17.71,,20,105,330,6.2,20,105,330,"Aciers Outils>TOOLOX 44",Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q10019,1,Epaisseur,20,1,Diameter/Largrue/Cote,105,1,Longueur,330,1
"Aciers Outils",Z160CDV12,63468,"En Stock","Z160CDV12 EP  72",1,5.19,,40,40,70,1.1,40,40,70,"Aciers Outils>Z160CDV12",Plat,1,1,Format,Plat,1,AFNOR,Z160CDV12,1,Euronorme,X155CrVMo12-1,1,NF,A35-590,1,AISI,P2,1,DIN,X155CrVMo12-1,1,Werskstoff,1-2379,1,CCPU,C0802,1,Epaisseur,40,1,Diameter/Largrue/Cote,40,1,Longueur,70,1
